ResponseName,RecommendationCount,IsFree,ScreenshotCount,PlatformWindows,PlatformMac,PlatformLinux,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer
The Ship: Murder Party,5026,True,19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
The Ship: Single Player,706,False,5,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
Bloody Good Time,716,False,8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Shadowgrounds,973,False,5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Gumboy - Crazy Adventures(tm),0,True,23,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
RIP - Trilogy(tm),291,False,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
Vigil: Blood Bitterness(tm),129,True,11,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
Alpha Prime,984,False,11,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Vampire: The Masquerade - Bloodlines,3983,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
GUN(tm),351,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Call of Duty(r),851,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Call of Duty(r) 2,1307,False,5,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Call of Duty: United Offensive,318,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
RollerCoaster Tycoon(r) 3: Platinum,2579,False,8,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
Act of War: Direct Action,109,False,12,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ThreadSpace: Hyperbol,0,False,8,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
ARMA: Combat Operations,181,False,20,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
X2: The Threat,183,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
X3: Reunion,280,False,11,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
X3: Terran Conflict,1262,False,12,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False
X: Beyond the Frontier,136,False,6,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
X: Tension,0,False,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
X Rebirth,5637,False,10,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
688(I) Hunter/Killer,0,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Fleet Command,0,False,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sub Command,0,False,7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
FlatOut 2(tm),2870,False,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
GTI Racing,0,False,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Xpand Rally,116,False,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Call of Juarez(tm),501,False,10,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Xpand Rally Xtreme,0,False,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Men of War: Red Tide,228,False,14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Kings Bounty: Armored Princess,308,False,20,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Painkiller: Black Edition,0,False,9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Genesis Rising,103,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Safecracker: The Ultimate Puzzle Adventure,321,False,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Painkiller Overdose,374,False,15,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Bejeweled 2 Deluxe,0,False,5,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Chuzzle Deluxe,0,False,5,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Insaniquarium Deluxe,414,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Zuma Deluxe,118,False,5,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
AstroPop Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bejeweled Deluxe,0,False,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Big Money! Deluxe,0,False,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Dynomite Deluxe,0,False,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Feeding Frenzy 2 Deluxe,159,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Hammer Heads Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Heavy Weapon Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Iggle Pop Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Pizza Frenzy Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Rocket Mania Deluxe,0,False,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Typer Shark! Deluxe,0,False,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Talismania Deluxe,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Peggle Deluxe,682,False,9,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Peggle Extreme,618,True,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Venice Deluxe,0,False,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mystery P.I.(tm) - The Lottery Ticket,0,False,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Amazing Adventures The Lost Tomb(tm),0,False,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mystery P.I.(tm) - The Vegas Heist,0,False,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Amazing Adventures Around the World,0,False,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Peggle(tm) Nights,248,False,12,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bejeweled Twist,0,False,10,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Mystery P.I.(tm) - The New York Fortune,0,False,10,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Wizards Pen(tm),0,False,14,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Plants vs. Zombies GOTY Edition,6207,False,10,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Escape Rosecliff Island,124,False,8,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mystery P.I. - Lost in Los Angeles,0,False,9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Zumas Revenge!,225,False,12,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
Sniper Elite,866,False,14,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Judge Dredd: Dredd vs. Death,425,False,6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Evil Genius,1195,False,10,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Aliens versus Predator Classic 2000,1084,False,12,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Advent Rising,226,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
BloodRayne,307,False,4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
BloodRayne 2,224,False,5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Psychonauts,5130,False,7,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Sid Meiers Civilization(r) IV,887,False,5,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sid Meiers Civilization(r) III Complete,1328,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sid Meiers Pirates!,1641,False,5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Shattered Union,0,False,5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CivCity: Rome,143,False,13,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Civilization IV(r): Warlords,0,False,5,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
